,FILE NAME,TYPE,LABEL,,,,DATASET,,,,GRID 7 x 7,,,,LOSS,,,
,,,XC,YC,W,H,XC,YC,W,H,XC,YC,I,J,TX,TY,TW,TH
1,000018.jpg,train,0.5092 ,0.5386 ,0.8605 ,0.8737 ,0.5092 ,0.4039 ,0.8605 ,0.6553 ,3.5644 ,2.8273 ,3.0000 ,2.0000 ,0.5644 ,0.8273 ,6.0235 ,4.5871 
2,000029.jpg,train,0.3380 ,0.5302 ,0.4560 ,0.6858 ,0.3380 ,0.3510 ,0.4540 ,0.1202 ,2.3660 ,2.4570 ,2.0000 ,2.0000 ,0.3660 ,0.4570 ,3.1780 ,0.8414 
3,000037.jpg,train,0.5230 ,0.5773 ,0.8060 ,0.6480 ,0.5230 ,0.4330 ,0.8060 ,0.4860 ,3.6610 ,3.0310 ,3.0000 ,3.0000 ,0.6610 ,0.0310 ,5.6420 ,3.4020 
4,000075.jpg,train,0.4849 ,0.4290 ,0.3614 ,0.5300 ,0.3220 ,0.4290 ,0.2400 ,0.5300 ,2.2540 ,3.0030 ,2.0000 ,3.0000 ,0.2540 ,0.0030 ,1.6800 ,3.7100 
5,000362.jpg,train,0.4480 ,0.4369 ,0.2480 ,0.7237 ,0.4480 ,0.2910 ,0.2480 ,0.4820 ,3.1360 ,2.0370 ,3.0000 ,2.0000 ,0.1360 ,0.0370 ,1.7360 ,3.3740 
6,000718.jpg,train,0.5040 ,0.5293 ,0.4200 ,0.9307 ,0.5040 ,0.3970 ,0.4200 ,0.6980 ,3.5280 ,2.7790 ,3.0000 ,2.0000 ,0.5280 ,0.7790 ,2.9400 ,4.8860 
7,001123.jpg,train,0.6340 ,0.4865 ,0.4880 ,0.8168 ,0.6340 ,0.3240 ,0.4880 ,0.5440 ,4.4380 ,2.2680 ,4.0000 ,2.0000 ,0.4380 ,0.2680 ,3.4160 ,3.8080 
8,007102.jpg,train,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 
9,008054.jpg,train,0.4900 ,0.5187 ,0.9440 ,0.5733 ,0.4900 ,0.3890 ,0.9440 ,0.4300 ,3.4300 ,2.7230 ,3.0000 ,2.0000 ,0.4300 ,0.7230 ,6.6080 ,3.0100 
10,008071.jpg,train,0.5871 ,0.7650 ,0.6637 ,0.2740 ,0.3910 ,0.7650 ,0.4420 ,0.2740 ,2.7370 ,5.3550 ,2.0000 ,5.0000 ,0.7370 ,0.3550 ,3.0940 ,1.9180 
